Usuario,Artista 1,Artista 2,Artista 3,Artista 4,Artista 5,Artista 6,Artista 7,Artista 8,Artista 9,Artista 10,Artista 11,Artista 12,Artista 13,Artista 14,Artista 15,Artista 16,Artista 17,Artista 18,Artista 19,Artista 20,Artista 21,Artista 22,Artista 23,Artista 24,Artista 25,Artista 26,Artista 27,Artista 28,Artista 29,Artista 30
trashyarson,Billie Eilish,Taylor Swift,The Neighbourhood,Mac DeMarco,Bedroom,Arctic Monkeys,Clams Casino,Mother Mother,boygenius,TV Girl,Harry Styles,Alex G,Conan Gray,Lil Peep,Wilbur Soot,Lana Del Rey,Salvia Palth,Olivia Rodrigo,Mitski,Cities Aviv,Deftones,Phoebe Bridgers,Wham!,C418,Panic! at the Disco,The Weeknd,Rex Orange County,Cavetown,Grimes,Melanie Martinez
m1kyle,Billie Eilish,Mitski,Olivia Rodrigo,Cigarettes After Sex,Deftones,TV Girl,Conan Gray,d4vd,Lil Peep,Labrinth,Red,Lana Del Rey,Ethel Cain,Whirr,Novulent,Ariana Grande,Dreamy,Take Care,Coldplay,BLOODbath64,Wisp,The Smiths,Troye Sivan,sign crushes motorist,Jordana,alex_g_offline,The Neighbourhood,Pinegrove,Lord Huron,Duster
Zuluagi,Billie Eilish,Labrinth,The Weeknd,Lana Del Rey,Frank Ocean,Ariana Grande,The Neighbourhood,Sky Rompiendo,Rauw Alejandro,FINNEAS,Amaarae,Olivia Rodrigo,50 Cent,Bad Bunny,Beach Weather,Blessd,Khalid,Cactus Jack,Dennis,Childish Gambino,Djo,Doja Cat,Arcángel,Bizarrap,XXXTENTACION,Drake,Zaider,Arctic Monkeys,Ashe,Gesaffelstein
kaio222,Billie Eilish,Lana Del Rey,Baco Exu do Blues,Kali Uchis,Clairo,Olivia Rodrigo,Doja Cat,The Weeknd,TV Girl,FINNEAS,Mitski,Kanye West,beabadoobee,PinkPantheress,Melanie Martinez,Clarice Falcão,Taylor Swift,Selena Gomez,Cigarettes After Sex,Corinne Bailey Rae,Ananda,Ariana Grande,Patrick Watson,girl in red,Jão,Labrinth,Ashe,Eyedress,Mac DeMarco,SZA
CristianoAlvCob,Billie Eilish,Aurora,Sid,Kant,Matuê,Kanye West,tchelo rodrigues,Teto,WIU,Major RD,Fabio Brazza,Charlie Brown Jr.,Bruxo 021,vmz,Eminem,Veigh,Costa Gold,L7NNON,"Ryu, the Runner",Kyan,Borges,Raul Seixas,Mc Poze do Rodo,DooDe,KayBlack,GringoBeats808,Konai,MC Cabelinho,Magyn,Bin
trulyalssn,Billie Eilish,SZA,Luísa Sonza,Doja Cat,The Weeknd,Kim Petras,Ariana Grande,Pabllo Vittar,Marina Sena,Olivia Rodrigo,Baco Exu do Blues,NewJeans,Urias,Beyoncé,Lana Del Rey,Harry Styles,Bibi,Ice Spice,Kali Uchis,Labrinth,Sabrina Carpenter,Megan Thee Stallion,Melanie Martinez,Omar Apollo,Nicki Minaj,Dua Lipa,Kenya Grace,Tate McRae,XG,Troye Sivan
SniperLmfao,Kendrick Lamar,Eminem,Young M.C.,Jay Rock,Baby Keem,Dame D.O.L.L.A,2Pac,50 Cent,ScHoolboy Q,Snoop Dogg,Future,DigBar,Yuno Miles,Ice Cube,Sleighbelle,Aimee Carty,Kanye West,Drake,DMX,Lil' Wayne,A$AP Rocky,Cali Swag District,A Boogie wit da Hoodie,YG Marley,21 Savage,Eazy-E,Bruno Mars,Dr. Dre,The Notorious B.I.G.,SiR
poopguy99,Kendrick Lamar,Logic,Playboi Carti,Kanye West,Drake,Freddie Dredd,ScHoolboy Q,J. Cole,Travi$ Scott,IDK,Ken Carson,Oliver Tree,Denzel Curry,Kid Cudi,Isaiah Rashad,JPEGMAFIA,Lil Uzi Vert,A$AP Rocky,Mac Miller,$uicideboy$,Destroy Lonely,Yeat,XXXTENTACION,Meek Mill,Baby Keem,Saba,Aminé,Big Sean,JID,Skrillex
dumbnumb_wav,Kendrick Lamar,Rod Wave,YoungBoy Never Broke Again,Michael Jackson,XXXTENTACION,Wifisfuneral,Lil Uzi Vert,Playboi Carti,The Jackson 5,Baby Keem,The Weeknd,The Tokens,Kanye West,Pop Smoke,Drake,The Del-Vikings,2Pac,Lil Bill,Bob Marley & The Wailers,Polo G,Future,Kodak Black,Trippie Redd,Lil Baby,Lil Peep,21 Savage,Lil Durk,Travi$ Scott,Frankie Lymon,Chief Keef
Laz3rr,Kendrick Lamar,Joji,Baby Keem,J. Cole,"Tyler, the Creator",Kanye West,Frank Ocean,d4vd,Travi$ Scott,Joey Bada$$,MF DOOM,Kali Uchis,21 Savage,Playboi Carti,Future,VACATIONS,Tame Impala,Mac DeMarco,Riovaz,XXXTENTACION,Dame D.O.L.L.A,ScHoolboy Q,Madvillain,Lil Darkie,Kid Cudi,SZA,Aminé,Drake,Don Toliver,Steve Lacy
